# Manufacturer-provided list of resistance / temperature points.
# For Panasonic ERTJ series with beta(25/85) = 3435
# https://industrial.panasonic.com/cdbs/www-data/pdf/AUA0000/AUA0000C8.pdf
#
# Temperature(C) Resistance(ohms)
-40 205200.0
-35 154800.0
-30 117900.0
-25 90690.0
-20 70370.0
-15 55070.0
-10 43440.0
-5 34530.0
0 27640.0
5 22270.0
10 18060.0
15 14740.0
20 12110.0
25 10000.0
30 8309.0
35 6941.0
40 5828.0
45 4916.0
50 4165.0
55 3543.0
60 3027.0
65 2595.0
70 2233.0
75 1929.0
80 1672.0
85 1451.0
90 1261.0
95 1097.0
100 956.3
105 835.7
110 731.7
115 642.1
120 565.0
125 498.6
